model,project_id,f1,precision,recall
LogisticRegression,0,0.5171339563862928,0.38967136150234744,0.7685185185185185
LogisticRegression,1,0.632996632996633,0.4895833333333333,0.8952380952380953
LogisticRegression,2,0.5714285714285714,0.43023255813953487,0.8505747126436781
LogisticRegression,3,0.5792349726775956,0.4274193548387097,0.8983050847457628
LogisticRegression,4,0.5977011494252874,0.4406779661016949,0.9285714285714286
LogisticRegression,5,0.6363636363636364,0.49411764705882355,0.8936170212765957
RandomForest,0,0.5739130434782609,0.5409836065573771,0.6111111111111112
RandomForest,1,0.6543778801843319,0.6339285714285714,0.6761904761904762
RandomForest,2,0.5833333333333334,0.5333333333333333,0.6436781609195402
RandomForest,3,0.6423357664233577,0.5641025641025641,0.7457627118644068
RandomForest,4,0.5882352941176471,0.5555555555555556,0.625
RandomForest,5,0.66,0.6226415094339622,0.7021276595744681
GradientBoosting,0,0.59375,0.6785714285714286,0.5277777777777778
GradientBoosting,1,0.5810055865921788,0.7027027027027027,0.49523809523809526
GradientBoosting,2,0.5751633986928104,0.6666666666666666,0.5057471264367817
GradientBoosting,3,0.6545454545454545,0.7058823529411765,0.6101694915254238
GradientBoosting,4,0.6111111111111112,0.6346153846153846,0.5892857142857143
GradientBoosting,5,0.6067415730337079,0.6428571428571429,0.574468085106383
GB+RF Ensemble,0,0.6028708133971292,0.6237623762376238,0.5833333333333334
GB+RF Ensemble,1,0.6203208556149733,0.7073170731707317,0.5523809523809524
GB+RF Ensemble,2,0.6049382716049383,0.6533333333333333,0.5632183908045977
GB+RF Ensemble,3,0.6551724137931034,0.6666666666666666,0.6440677966101694
GB+RF Ensemble,4,0.5981308411214953,0.6274509803921569,0.5714285714285714
GB+RF Ensemble,5,0.6222222222222222,0.6511627906976745,0.5957446808510638
XGBoost,0,0.5418060200668896,0.42408376963350786,0.75
XGBoost,1,0.6081081081081081,0.4712041884816754,0.8571428571428571
XGBoost,2,0.5490196078431373,0.4166666666666667,0.8045977011494253
XGBoost,3,0.5730337078651685,0.42857142857142855,0.864406779661017
XGBoost,4,0.5389221556886228,0.40540540540540543,0.8035714285714286
XGBoost,5,0.6290322580645161,0.5064935064935064,0.8297872340425532
